,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_get_sma(C,30)","Exit_get_sma(C,30)","Entry_get_sma(C,60)","Exit_get_sma(C,60)"
0,-292,163,261,3384.0263671875,3306.186279296875,,,3193.884736328124,19535.420927734376,0.0032322329198846804,2025-01-07 20:00:00+00:00,2025-01-11 22:00:00+00:00,4 days 02:00:00,,3622.95087890625,3266.610660807292,3631.485245768229,3264.073937988281
1,300,261,275,3306.186279296875,3252.191650390625,,,-35873.5224609375,19675.1337890625,-0.036168079503540805,2025-01-11 22:00:00+00:00,2025-01-12 12:00:00+00:00,0 days 14:00:00,,3266.610660807292,3267.9029541015625,3264.073937988281,3268.289668782552
2,-294,275,277,3252.191650390625,3264.986572265625,,,-22922.211005859375,19160.503974609375,-0.023973588423731887,2025-01-12 12:00:00+00:00,2025-01-12 14:00:00+00:00,0 days 02:00:00,,3267.9029541015625,3270.453759765625,3268.289668782552,3269.229805501302
3,286,277,294,3264.986572265625,3189.835205078125,,,-39954.081298828125,18460.790283203125,-0.042787185144224915,2025-01-12 14:00:00+00:00,2025-01-13 07:00:00+00:00,0 days 17:00:00,,3270.453759765625,3259.7310872395833,3269.229805501302,3262.2807861328124
4,-280,294,337,3189.835205078125,3229.66943359375,,,-29128.196972656253,17974.612988281253,-0.03261274273251866,2025-01-13 07:00:00+00:00,2025-01-15 02:00:00+00:00,1 days 19:00:00,,3259.7310872395833,3190.3273030598957,3262.2807861328124,3182.1005249023438
5,268,337,429,3229.66943359375,3271.415283203125,,,-6235.019345703127,17422.907041015627,-0.007203522848685567,2025-01-15 02:00:00+00:00,2025-01-18 22:00:00+00:00,3 days 20:00:00,,3190.3273030598957,3349.472200520833,3182.1005249023438,3356.584932454427
6,-263,429,470,3271.415283203125,3347.849365234375,,,-37510.82959960937,17408.666025390623,-0.04359786702957988,2025-01-18 22:00:00+00:00,2025-01-20 15:00:00+00:00,1 days 17:00:00,,3349.472200520833,3309.106689453125,3356.584932454427,3299.9856770833335
7,245,470,482,3347.849365234375,3253.671875,,,-39247.21214599609,16173.72703857422,-0.0478494356108833,2025-01-20 15:00:00+00:00,2025-01-21 03:00:00+00:00,0 days 12:00:00,,3309.106689453125,3298.9970540364584,3299.9856770833335,3298.3925577799478
8,-241,482,483,3253.671875,3258.23974609375,,,-16794.56394042969,15693.707006835939,-0.021417951773237007,2025-01-21 03:00:00+00:00,2025-01-21 04:00:00+00:00,0 days 01:00:00,,3298.9970540364584,3298.503515625,3298.3925577799478,3297.992390950521
9,235,483,496,3258.23974609375,3312.76171875,,,-2629.1898681640632,15441.853442382813,-0.003433768802802422,2025-01-21 04:00:00+00:00,2025-01-21 17:00:00+00:00,0 days 13:00:00,,3298.503515625,3291.5230794270833,3297.992390950521,3294.9378336588543
10,-230,496,512,3312.76171875,3298.912841796875,,,-12021.609790039063,15206.851489257813,-0.015777732626077866,2025-01-21 17:00:00+00:00,2025-01-22 09:00:00+00:00,0 days 16:00:00,,3291.5230794270833,3303.134309895833,3294.9378336588543,3301.065681966146
11,228,512,531,3298.912841796875,3224.864013671875,,,-31757.34404296875,14874.21123046875,-0.042221969284832614,2025-01-22 09:00:00+00:00,2025-01-23 04:00:00+00:00,0 days 19:00:00,,3303.134309895833,3284.9088541666665,3301.065681966146,3287.65849609375
12,-223,531,563,3224.864013671875,3399.71435546875,,,-53764.435983886724,14772.809763183595,-0.07476164094552493,2025-01-23 04:00:00+00:00,2025-01-24 12:00:00+00:00,1 days 08:00:00,,3284.9088541666665,3294.408756510417,3287.65849609375,3285.185091145833
13,196,563,599,3399.71435546875,3317.262939453125,,,-29325.753037109374,13165.275498046874,-0.04400992945897483,2025-01-24 12:00:00+00:00,2025-01-26 00:00:00+00:00,1 days 12:00:00,,3294.408756510417,3316.074503580729,3285.185091145833,3323.420381673177
14,-192,599,678,3317.262939453125,3143.613525390625,,,20935.8046875,12404.8828125,0.032870668199741396,2025-01-26 00:00:00+00:00,2025-01-29 07:00:00+00:00,3 days 07:00:00,,3316.074503580729,3153.750455729167,3323.420381673177,3149.8450439453127
15,210,678,687,3143.613525390625,3099.355224609375,,,-22404.4775390625,13110.234375,-0.03393801032459704,2025-01-29 07:00:00+00:00,2025-01-29 16:00:00+00:00,0 days 09:00:00,,3153.750455729167,3128.5570393880207,3149.8450439453127,3132.642948404948
16,-205,687,709,3099.355224609375,3266.42724609375,,,-47299.61846923828,13049.854064941406,-0.07444446650044322,2025-01-29 16:00:00+00:00,2025-01-30 14:00:00+00:00,0 days 22:00:00,,3128.5570393880207,3159.674080403646,3132.642948404948,3155.948876953125
17,181,709,766,3266.42724609375,3136.337646484375,,,-35135.22198486328,11589.004455566406,-0.05942800310868601,2025-01-30 14:00:00+00:00,2025-02-01 23:00:00+00:00,2 days 09:00:00,,3159.674080403646,3258.911661783854,3155.948876953125,3270.3424723307294
18,-177,766,838,3136.337646484375,2683.489501953125,,,69853.02752929687,10301.094052734376,0.1258314370231315,2025-02-01 23:00:00+00:00,2025-02-04 23:00:00+00:00,3 days 00:00:00,,3258.911661783854,2772.246728515625,3270.3424723307294,2760.6110107421873
19,233,838,864,2683.489501953125,2767.7216796875,,,6924.77535888672,12701.322053222655,0.011075156394812543,2025-02-04 23:00:00+00:00,2025-02-06 01:00:00+00:00,1 days 02:00:00,,2772.246728515625,2756.479256184896,2760.6110107421873,2763.6269002278646
20,-228,864,869,2767.7216796875,2833.57177734375,,,-27784.77134765625,12770.94908203125,-0.044030089123817465,2025-02-06 01:00:00+00:00,2025-02-06 06:00:00+00:00,0 days 05:00:00,,2756.479256184896,2776.0807942708334,2763.6269002278646,2774.151472981771
21,213,869,893,2833.57177734375,2714.41943359375,,,-37196.67049804688,11817.221279296875,-0.06162972727766192,2025-02-06 06:00:00+00:00,2025-02-07 06:00:00+00:00,1 days 00:00:00,,2776.0807942708334,2755.9385498046877,2774.151472981771,2756.188509114583
22,-209,893,960,2714.41943359375,2643.370361328125,,,3651.4754321289056,11197.78067138672,0.00643643134151721,2025-02-07 06:00:00+00:00,2025-02-10 01:00:00+00:00,2 days 19:00:00,,2755.9385498046877,2641.3248616536457,2756.188509114583,2638.7329915364585
23,216,960,1015,2643.370361328125,2619.070556640625,,,-16615.6301953125,11366.8723828125,-0.029100808192665785,2025-02-10 01:00:00+00:00,2025-02-12 08:00:00+00:00,2 days 07:00:00,,2641.3248616536457,2645.5913899739585,2638.7329915364585,2647.2649169921874
24,-212,1015,1040,2619.070556640625,2666.703125,,,-21303.944697265626,11205.840205078126,-0.03836868957996918,2025-02-12 08:00:00+00:00,2025-02-13 09:00:00+00:00,1 days 01:00:00,,2645.5913899739585,2666.318505859375,2647.2649169921874,2661.704235839844
25,200,1040,1110,2666.703125,2708.68212890625,,,-2354.9697265625,10750.7705078125,-0.004415507869033046,2025-02-13 09:00:00+00:00,2025-02-16 07:00:00+00:00,2 days 22:00:00,,2666.318505859375,2702.9655924479166,2661.704235839844,2705.601806640625
26,-196,1110,1142,2708.68212890625,2826.26953125,,,-33895.636113281245,10848.505253906249,-0.06384540921202271,2025-02-16 07:00:00+00:00,2025-02-17 15:00:00+00:00,1 days 08:00:00,,2702.9655924479166,2703.6427978515626,2705.601806640625,2702.390592447917
27,176,1142,1172,2826.26953125,2631.399658203125,,,-43902.5954296875,9605.497773437499,-0.08826000570125422,2025-02-17 15:00:00+00:00,2025-02-18 21:00:00+00:00,1 days 06:00:00,,2703.6427978515626,2692.5939371744794,2702.390592447917,2698.118367513021
28,-172,1172,1202,2631.399658203125,2742.0830078125,,,-28279.926318359376,9242.390185546876,-0.06248316395305971,2025-02-18 21:00:00+00:00,2025-02-20 03:00:00+00:00,1 days 06:00:00,,2692.5939371744794,2704.5071370442706,2698.118367513021,2698.550537109375
29,155,1202,1251,2742.0830078125,2675.1435546875,,,-18772.31640625,8396.701171875,-0.04416777989759584,2025-02-20 03:00:00+00:00,2025-02-22 04:00:00+00:00,2 days 01:00:00,,2704.5071370442706,2724.3604329427085,2698.550537109375,2726.937923177083
30,-152,1251,1277,2675.1435546875,2781.98779296875,,,-24535.1638671875,8294.8396484375,-0.06033902422730664,2025-02-22 04:00:00+00:00,2025-02-23 06:00:00+00:00,1 days 02:00:00,,2724.3604329427085,2739.0054280598956,2726.937923177083,2735.602469889323
