,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_supertren…(H,L,C,30)","Exit_supertren…(H,L,C,30)","Entry_ema(C[D],10)","Exit_ema(C[D],10)"
0,5,71,120,18565.19921875,18585.150390625,,,99.755859375,0.0,0.0010746543379318574,2022-11-28 10:15:00+05:30,2022-12-07 10:15:00+05:30,9 days 00:00:00,,18411.119893361607,18747.56339691575,18345.7748046875,18605.215502257775
1,-5,121,149,18594.400390625,18586.5,,,39.501953125,0.0,0.00042488009610586186,2022-12-07 11:15:00+05:30,2022-12-13 11:15:00+05:30,6 days 00:00:00,,18729.10075623467,18420.359052595493,18605.215502257775,18564.239414369375
2,5,150,164,18599.69921875,18521.80078125,,,-389.4921875,0.0,-0.004188155764447643,2022-12-13 12:15:00+05:30,2022-12-15 12:15:00+05:30,2 days 00:00:00,,18439.240150581893,18676.582137184083,18564.239414369375,18583.038723410493
3,-5,165,236,18521.0,18195.650390625,,,1626.748046875,0.0,0.017566524991901034,2022-12-15 13:15:00+05:30,2022-12-29 14:15:00+05:30,14 days 01:00:00,,18652.655180527945,17946.02451716042,18583.038723410493,18186.747689080054
4,5,237,261,18210.400390625,18040.25,,,-850.751953125,0.0,-0.009343583170889347,2022-12-29 15:15:00+05:30,2023-01-04 11:15:00+05:30,5 days 20:00:00,,18006.257952435695,18252.897442099675,18186.747689080054,18192.568808680964
5,-5,262,281,18078.94921875,18105.19921875,,,-131.25,0.0,-0.0014519649168975857,2023-01-04 12:15:00+05:30,2023-01-09 10:15:00+05:30,4 days 22:00:00,,18238.345229185932,17886.061068425297,18192.568808680964,18085.53603185832
6,5,282,290,18130.19921875,17890.25,,,-1199.74609375,0.0,-0.013234781143598662,2023-01-09 11:15:00+05:30,2023-01-10 12:15:00+05:30,1 days 01:00:00,,17922.61925416529,18130.314701934167,18085.53603185832,18086.12038970226
7,-5,291,322,17904.25,18004.900390625,,,-503.251953125,0.0,-0.005621592115000684,2023-01-10 13:15:00+05:30,2023-01-17 09:15:00+05:30,6 days 20:00:00,,18092.43754520303,17763.36684196454,18086.12038970226,17971.015848731327
8,5,323,364,17986.30078125,17943.599609375,,,-213.505859375,0.0,-0.002374094172800323,2023-01-17 10:15:00+05:30,2023-01-25 09:15:00+05:30,7 days 23:00:00,,17812.80594853447,18178.47907900997,17971.015848731327,18054.631866929874
9,-5,365,395,17935.30078125,17922.150390625,,,65.751953125,0.0,0.0007332127175000425,2023-01-25 10:15:00+05:30,2023-02-01 12:15:00+05:30,7 days 02:00:00,,18099.261840178388,17596.19512185493,18054.631866929874,17860.582808125855
10,-5,399,411,17573.19921875,17854.30078125,,,-1405.5078125,0.0,-0.015996038000871016,2023-02-02 09:15:00+05:30,2023-02-03 14:15:00+05:30,1 days 05:00:00,,17857.690177108394,17518.133673316726,17814.18600494388,17777.379458590447
11,5,412,487,17830.80078125,17842.05078125,,,56.25,0.0,0.0006309307213969717,2023-02-03 15:15:00+05:30,2023-02-20 13:15:00+05:30,16 days 22:00:00,,17558.40841675825,18037.90629733399,17777.379458590447,17899.55829668982
12,-5,488,547,17843.849609375,17547.849609375,,,1480.0,0.0,0.016588348729664526,2023-02-20 14:15:00+05:30,2023-03-03 10:15:00+05:30,10 days 20:00:00,,18005.64132179786,17352.149458504846,17899.55829668982,17524.338352278097
