symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMZN,2025-07-28 08:12:00+00:00,232.78,232.78,232.78,232.78,361.0,20.0,232.78
AMZN,2025-07-28 08:13:00+00:00,232.69,232.69,232.68,232.68,792.0,35.0,232.684451
AMZN,2025-07-28 08:14:00+00:00,232.6,232.68,232.6,232.68,3880.0,38.0,232.669071
AMZN,2025-07-28 08:17:00+00:00,232.67,232.68,232.67,232.68,764.0,23.0,232.677831
AMZN,2025-07-28 08:18:00+00:00,232.76,232.85,232.76,232.85,858.0,21.0,232.812
AMZN,2025-07-28 08:19:00+00:00,232.8,232.8,232.8,232.8,1113.0,12.0,232.8
AMZN,2025-07-28 08:20:00+00:00,232.93,232.96,232.93,232.96,566.0,22.0,232.945849
AMZN,2025-07-28 08:22:00+00:00,232.97,232.97,232.97,232.97,663.0,25.0,232.97
AMZN,2025-07-28 08:23:00+00:00,232.98,232.98,232.83,232.83,547.0,15.0,232.905
AMZN,2025-07-28 08:24:00+00:00,232.83,232.83,232.81,232.81,998.0,26.0,232.823333
AMZN,2025-07-28 08:25:00+00:00,232.83,232.83,232.83,232.83,1088.0,24.0,232.83
AMZN,2025-07-28 08:27:00+00:00,232.76,232.76,232.76,232.76,325.0,10.0,232.76
AMZN,2025-07-28 08:42:00+00:00,232.82,232.82,232.82,232.82,484.0,12.0,232.82
AMZN,2025-07-28 08:44:00+00:00,232.76,232.76,232.76,232.76,445.0,19.0,232.76
AMZN,2025-07-28 08:45:00+00:00,232.73,232.73,232.73,232.73,243.0,13.0,232.73
AMZN,2025-07-28 08:48:00+00:00,232.76,232.81,232.7,232.7,1616.0,44.0,232.731638
AMZN,2025-07-28 08:51:00+00:00,232.81,232.81,232.81,232.81,501.0,2.0,232.81
AMZN,2025-07-28 08:52:00+00:00,232.75,232.75,232.75,232.75,117.0,3.0,232.75
AMZN,2025-07-28 09:02:00+00:00,232.71,232.71,232.71,232.71,396.0,6.0,232.71
AMZN,2025-07-28 09:03:00+00:00,232.73,232.73,232.73,232.73,443.0,20.0,232.73
AMZN,2025-07-28 09:04:00+00:00,232.86,232.86,232.86,232.86,444.0,9.0,232.86
AMZN,2025-07-28 09:07:00+00:00,232.72,232.72,232.72,232.72,407.0,15.0,232.72
AMZN,2025-07-28 09:08:00+00:00,232.82,232.82,232.81,232.81,412.0,11.0,232.813195
AMZN,2025-07-28 09:12:00+00:00,232.83,232.89,232.83,232.89,1540.0,38.0,232.861362
AMZN,2025-07-28 09:15:00+00:00,232.81,232.81,232.8,232.8,414.0,6.0,232.805882
AMZN,2025-07-28 09:24:00+00:00,232.8,232.8,232.63,232.63,4687.0,74.0,232.766827
AMZN,2025-07-28 09:25:00+00:00,232.7,232.7,232.7,232.7,102.0,2.0,232.7
AMZN,2025-07-28 09:26:00+00:00,232.7,232.7,232.69,232.69,1670.0,44.0,232.696667
AMZN,2025-07-28 09:27:00+00:00,232.7,232.71,232.7,232.71,300.0,4.0,232.705
AMZN,2025-07-28 09:28:00+00:00,232.7,232.73,232.7,232.73,870.0,14.0,232.713714
AMZN,2025-07-28 09:29:00+00:00,232.7,232.7,232.7,232.7,369.0,10.0,232.7
AMZN,2025-07-28 09:31:00+00:00,232.82,232.82,232.82,232.82,188.0,5.0,232.82
AMZN,2025-07-28 09:33:00+00:00,232.65,232.79,232.65,232.79,1559.0,31.0,232.771343
AMZN,2025-07-28 09:34:00+00:00,232.77,232.83,232.77,232.83,845.0,13.0,232.81
AMZN,2025-07-28 09:38:00+00:00,232.68,232.68,232.68,232.68,202.0,4.0,232.68
AMZN,2025-07-28 09:42:00+00:00,232.66,232.66,232.66,232.66,201.0,2.0,232.66
AMZN,2025-07-28 09:44:00+00:00,232.63,232.63,232.61,232.61,1045.0,14.0,232.620526
AMZN,2025-07-28 09:45:00+00:00,232.61,232.61,232.61,232.61,399.0,15.0,232.61
AMZN,2025-07-28 09:48:00+00:00,232.67,232.67,232.66,232.66,892.0,25.0,232.663425
AMZN,2025-07-28 09:49:00+00:00,232.61,232.61,232.61,232.61,415.0,14.0,232.61
AMZN,2025-07-28 09:52:00+00:00,232.69,232.69,232.62,232.62,714.0,19.0,232.643333
AMZN,2025-07-28 09:56:00+00:00,232.61,232.73,232.61,232.73,382.0,9.0,232.656693
AMZN,2025-07-28 09:57:00+00:00,232.61,232.61,232.61,232.61,303.0,5.0,232.61
AMZN,2025-07-28 09:58:00+00:00,232.73,232.73,232.73,232.73,653.0,12.0,232.73
AMZN,2025-07-28 09:59:00+00:00,232.73,232.75,232.73,232.75,468.0,7.0,232.738571
AMZN,2025-07-28 10:01:00+00:00,232.8,232.84,232.8,232.84,1744.0,49.0,232.830249
AMZN,2025-07-28 10:02:00+00:00,232.89,232.89,232.89,232.89,1216.0,33.0,232.89
AMZN,2025-07-28 10:05:00+00:00,232.89,232.89,232.89,232.89,571.0,17.0,232.89
AMZN,2025-07-28 10:07:00+00:00,232.87,232.87,232.72,232.72,524.0,17.0,232.795
AMZN,2025-07-28 10:10:00+00:00,232.66,232.86,232.66,232.86,483.0,15.0,232.758837
AMZN,2025-07-28 10:12:00+00:00,232.77,232.77,232.77,232.77,216.0,7.0,232.77
AMZN,2025-07-28 10:13:00+00:00,232.71,232.71,232.71,232.71,740.0,12.0,232.71
AMZN,2025-07-28 10:15:00+00:00,232.72,232.72,232.72,232.72,216.0,6.0,232.72
AMZN,2025-07-28 10:20:00+00:00,232.76,232.76,232.76,232.76,136.0,13.0,232.76
AMZN,2025-07-28 10:26:00+00:00,232.78,232.78,232.78,232.78,266.0,11.0,232.78
AMZN,2025-07-28 10:27:00+00:00,232.71,232.71,232.7,232.7,525.0,8.0,232.704405
AMZN,2025-07-28 10:30:00+00:00,232.79,232.79,232.79,232.79,291.0,9.0,232.79
AMZN,2025-07-28 10:31:00+00:00,232.8,232.8,232.8,232.8,610.0,25.0,232.8
AMZN,2025-07-28 10:38:00+00:00,232.84,232.85,232.84,232.85,742.0,11.0,232.843861
AMZN,2025-07-28 10:39:00+00:00,232.85,232.89,232.85,232.86,1172.0,33.0,232.864749
AMZN,2025-07-28 10:43:00+00:00,232.74,232.74,232.7,232.7,671.0,18.0,232.716667
AMZN,2025-07-28 10:44:00+00:00,232.64,232.64,232.62,232.62,743.0,30.0,232.63
AMZN,2025-07-28 10:45:00+00:00,232.64,232.64,232.64,232.64,409.0,20.0,232.64
AMZN,2025-07-28 10:46:00+00:00,232.59,232.59,232.59,232.59,1837.0,23.0,232.59
AMZN,2025-07-28 10:49:00+00:00,232.58,232.6,232.58,232.58,854.0,18.0,232.586095
AMZN,2025-07-28 10:53:00+00:00,232.53,232.54,232.53,232.54,2343.0,209.0,232.535
AMZN,2025-07-28 10:54:00+00:00,232.53,232.53,232.53,232.53,681.0,10.0,232.53
AMZN,2025-07-28 10:56:00+00:00,232.6,232.6,232.6,232.6,1103.0,26.0,232.6
AMZN,2025-07-28 10:57:00+00:00,232.6,232.6,232.6,232.6,152.0,3.0,232.6
AMZN,2025-07-28 10:59:00+00:00,232.6,232.6,232.6,232.6,3348.0,20.0,232.6
AMZN,2025-07-28 11:00:00+00:00,232.6,232.68,232.6,232.68,5245.0,131.0,232.616758
AMZN,2025-07-28 11:01:00+00:00,232.6,232.69,232.6,232.65,2470.0,26.0,232.647147
AMZN,2025-07-28 11:02:00+00:00,232.86,232.89,232.86,232.89,1427.0,62.0,232.872538
AMZN,2025-07-28 11:03:00+00:00,232.85,232.85,232.85,232.85,411.0,11.0,232.85
AMZN,2025-07-28 11:04:00+00:00,232.78,232.78,232.78,232.78,370.0,18.0,232.78
AMZN,2025-07-28 11:06:00+00:00,232.81,232.81,232.77,232.77,4454.0,53.0,232.795685
