,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,"Entry_upper1(C,7)","Exit_upper1(C,7)","Entry_lower1(C,7)","Exit_lower1(C,7)"
0,-128,22,75,77.92423248291016,88.20092010498047,,,-1357.9440546875,42.5280390625,-0.13614427231699427,2020-10-12,2020-12-28,77 days,,77.76468179240943,88.05076284818202,70.20088783998453,84.89571585926777
1,-97,75,82,88.20092010498047,88.75511932373047,,,-88.08679586791993,34.329471649169925,-0.010295939050596717,2020-12-28,2021-01-07,10 days,,88.05076284818202,88.66306873640156,84.89571585926777,85.03143722760515
2,-96,82,90,88.75511932373047,93.7037582397461,,,-510.1014404296875,35.0321044921875,-0.059867607768759844,2021-01-07,2021-01-20,13 days,,88.66306873640156,92.98870151055566,85.03143722760515,83.25947179441086
3,-85,90,100,93.7037582397461,102.8000259399414,,,-806.5883978271485,33.40564331054688,-0.10126888661472747,2021-01-20,2021-02-03,14 days,,92.98870151055566,102.18347506928463,83.25947179441086,87.17512827195422
4,-70,100,108,102.8000259399414,105.3739013671875,,,-209.3156297302246,29.144349822998045,-0.02908776777553844,2021-02-03,2021-02-16,13 days,,102.18347506928463,105.32261531544118,87.17512827195422,103.13230586201418
5,-66,108,112,105.3739013671875,102.54227447509766,,,159.44243966674804,27.44493521118164,0.02292592861288454,2021-02-16,2021-02-22,6 days,,105.32261531544118,106.46896347116099,103.13230586201418,102.57804449828656
6,69,112,140,102.54227447509766,106.1610107421875,,,220.89174906921386,28.801053359985353,0.031219608820289166,2021-02-22,2021-04-01,38 days,,106.46896347116099,105.63554228141682,102.57804449828656,99.28839483493364
7,-69,140,141,106.1610107421875,110.52116394042969,,,-330.7527107849121,29.902140106201173,-0.04515327721632653,2021-04-01,2021-04-05,4 days,,105.63554228141682,110.07969506293473,99.28839483493364,97.40514206039116
8,-63,141,158,110.52116394042969,118.18672180175781,,,-511.7473388671875,28.817193603515626,-0.0734969968031709,2021-04-05,2021-04-28,23 days,,110.07969506293473,118.06344352797024,97.40514206039116,111.56387362814024
9,-55,158,168,118.18672180175781,111.19308471679688,,,359.4182609558105,25.231778717041017,0.05529282285099001,2021-04-28,2021-05-12,14 days,,118.06344352797024,121.0743864538426,111.56387362814024,111.34269946621879
10,62,168,176,111.19308471679688,119.51563262939453,,,487.39008963012697,28.607880950927736,0.07069801595960017,2021-05-12,2021-05-24,12 days,,121.0743864538426,119.37977391207504,111.34269946621879,112.711541221156
11,-61,176,218,119.51563262939453,136.87930297851562,,,-1090.4640734405518,31.28018214416504,-0.1495742425241554,2021-05-24,2021-07-23,60 days,,119.37977391207504,136.50400286125046,112.711541221156,126.61328491079195
12,-46,218,239,136.87930297851562,140.14048767089844,,,-175.50031658935546,25.485820739746096,-0.027872908399310482,2021-07-23,2021-08-23,31 days,,136.50400286125046,140.11742103705112,126.61328491079195,134.47277148527033
13,-43,239,252,140.14048767089844,140.95640563964844,,,-59.25880548095703,24.17433282470703,-0.009833787353497787,2021-08-23,2021-09-10,18 days,,140.11742103705112,145.96341176135476,134.47277148527033,141.2349219788796
14,43,252,264,140.95640563964844,135.25839233398438,,,-268.7690447692871,23.754472625732422,-0.04434309227202088,2021-09-10,2021-09-28,18 days,,145.96341176135476,143.3128245567442,141.2349219788796,135.27970038047675
15,42,264,282,135.25839233398438,137.68280029296875,,,78.8980740966797,22.927060180664064,0.013888421570854959,2021-09-28,2021-10-22,24 days,,143.3128245567442,144.07295069049397,135.27970038047675,137.90880415744132
16,42,282,303,137.68280029296875,146.07884216308594,,,328.7977805786133,23.835977966308594,0.056859088924303934,2021-10-22,2021-11-22,31 days,,144.07295069049397,150.3248673188072,137.90880415744132,146.1921222529004
17,42,303,333,146.07884216308594,136.71792602539062,,,-416.91340631103515,23.754928527832032,-0.06795309660922745,2021-11-22,2022-01-05,44 days,,150.3248673188072,149.0958251057745,146.1921222529004,137.7353298537679
18,42,333,352,136.71792602539062,147.0303192138672,,,409.285661315918,23.834852600097655,0.07127738827890247,2022-01-05,2022-02-02,28 days,,149.0958251057745,146.6795174801884,137.7353298537679,120.0663517476297
19,-42,352,374,147.0303192138672,125.60494232177734,,,876.9644674987793,22.90136196899414,0.14201224945071902,2022-02-02,2022-03-07,33 days,,146.6795174801884,137.7213642529796,120.0663517476297,126.534405749113
20,56,374,407,125.60494232177734,118.8010025024414,,,-408.394095703125,27.3734658203125,-0.05806102510123891,2022-03-07,2022-04-22,46 days,,137.7213642529796,133.01835272075675,126.534405749113,119.20645937815507
21,56,407,441,118.8010025024414,110.67015075683594,,,-481.0284669189453,25.700769165039063,-0.07230405359540211,2022-04-22,2022-06-10,49 days,,133.01835272075675,119.11055011299091,119.20645937815507,110.78294571917986
22,55,441,442,110.67015075683594,106.15008544921875,,,-272.45381790161133,23.850225982666018,-0.04476099242797237,2022-06-10,2022-06-13,3 days,,119.11055011299091,120.45843775278637,110.78294571917986,106.35059196261541
23,55,442,535,106.15008544921875,104.21681213378906,,,-129.47039108276368,23.140358734130857,-0.0221762149378753,2022-06-13,2022-10-25,134 days,,120.45843775278637,104.11241526973792,106.35059196261541,98.03849851374422
24,-55,535,536,104.21681213378906,94.175537109375,,,530.4469679260254,21.823158416748047,0.0925425574670865,2022-10-25,2022-10-26,1 days,,104.11241526973792,105.97598664100168,98.03849851374422,94.48364514261998
25,67,536,547,94.175537109375,93.52994537353516,,,-68.40718095397949,25.15253465270996,-0.01084148529590942,2022-10-26,2022-11-10,15 days,,105.97598664100168,93.39525169854163,94.48364514261998,81.51919663083895
26,-66,547,560,93.52994537353516,100.7604751586914,,,-502.8613013305664,25.646335510253905,-0.08146172432574288,2022-11-10,2022-11-30,20 days,,93.39525169854163,100.69476045868386,81.51919663083895,93.04229790836412
27,-57,560,588,100.7604751586914,91.63294219970703,,,498.33652908325195,21.93284957885742,0.08676761508417173,2022-11-30,2023-01-11,42 days,,100.69476045868386,91.57413740067037,93.04229790836412,85.3976556378341
28,-68,588,594,91.63294219970703,98.60521697998047,,,-499.98707470703124,25.872389648437498,-0.08024135122288271,2023-01-11,2023-01-20,9 days,,91.57413740067037,97.72318569087587,85.3976556378341,87.89232116250024
29,-58,594,603,98.60521697998047,108.0605239868164,,,-572.3810323486329,23.97322595214844,-0.10008231603783337,2023-01-20,2023-02-02,13 days,,97.72318569087587,107.2016826507335,87.89232116250024,92.75851152825645
30,-47,603,615,108.0605239868164,91.42436218261719,,,763.1480254974365,18.751579299926757,0.15026016377489823,2023-02-02,2023-02-21,19 days,,107.2016826507335,97.05304426514789,92.75851152825645,91.46544284771483
31,64,615,632,91.42436218261719,100.383056640625,,,548.805095703125,24.551349609375002,0.0937942515063205,2023-02-21,2023-03-16,23 days,,97.05304426514789,100.23659804566249,91.46544284771483,87.57814717615672
32,-64,632,670,100.383056640625,111.5168685913086,,,-739.6871552734375,27.123190429687497,-0.11513508542107985,2023-03-16,2023-05-10,55 days,,100.23659804566249,111.11651907159812,87.57814717615672,102.27604597443984
33,-51,670,671,111.5168685913086,116.10546112060547,,,-257.23569662475586,23.217477630615235,-0.045229365318762295,2023-05-10,2023-05-11,1 days,,111.11651907159812,115.94936244600987,102.27604597443984,100.54199453989972
34,-47,671,698,116.10546112060547,120.43583679199219,,,-225.76253855895996,22.23488200378418,-0.04137151018436832,2023-05-11,2023-06-21,41 days,,115.94936244600987,125.68545151003315,100.54199453989972,120.66300473647914
35,43,698,710,120.43583679199219,116.07566833496094,,,-207.82723309326173,20.339989440917968,-0.040130841417515044,2023-06-21,2023-07-10,19 days,,125.68545151003315,122.68823457107032,120.66300473647914,116.2793034451127
36,43,710,722,116.07566833496094,128.7787322998047,,,525.1742720336914,21.057478454589845,0.10521890882704196,2023-07-10,2023-07-26,16 days,,122.68823457107032,128.274443737939,116.2793034451127,116.06206923639134
